accountID,companyID,label,initialPurchaseMonth,bin_Efiles,bin_CustomerSpend,firmSize_NumPreparers,productUsage_NumLogs,firmLocation_UrbanRural,numClients,customerSupport_Flag,usedPromotion_Flag,All States,Efile,Evaluation,Federal,First State,Portal,Prior Year,Upgrade,Enterprise,UnlimitedEfile,Pre-paid E-file
36117422,63313,churned,5.0,<= 3 efiles,$1999-$2988,1.0,11911.8,481.0,437.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8483197,9368,churned,7.0,<= 3 efiles,$1401-$1998,1.0,4696.0,256.0,199.6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
39384461,56183,churned,10.0,<= 3 efiles,$629-$866,1.0,9236.4,3.0,396.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73417647,38686,churned,10.0,<= 3 efiles,> $2988,1.0,6390.2,157.0,164.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40714700,15637,churned,11.0,19-31 efiles,$629-$866,1.0,8859.4,2.0,179.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11743764,39356,churned,11.0,<= 3 efiles,> $2988,1.0,95.0,60.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
23197318,27334,churned,5.0,<= 3 efiles,> $2988,1.0,1896.6,24.0,77.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
59421170,17130,churned,11.0,32-57 efiles,$1999-$2988,1.0,515.0,5.0,21.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
73441069,47372,churned,12.0,<= 3 efiles,$1999-$2988,1.0,4058.8,4.0,245.8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74798241,17583,churned,1.0,<= 3 efiles,$1192-$1400,1.0,1749.4,13.0,373.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17620757,47973,churned,1.0,<= 3 efiles,$629-$866,1.0,1384.0,3.0,133.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99739317,34782,churned,7.0,<= 3 efiles,$1999-$2988,1.0,1906.4,481.0,160.2,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
